epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.2659,0.00916,23.5312,0.0207,0.00346,0.71076,0.00557,0.00153,nan,nan,nan,0.00167719,0.00167719,0.00167719
2,135.672,0.00896,16.6466,0.02014,0.04648,0.08721,0.01226,0.00248,nan,nan,nan,0.00199449,0.00199449,0.00199449
3,201.629,0.009,16.0891,0.01995,0.00584,0.7064,0.05949,0.014,0.00929,13.8778,0.03219,0.00198899,0.00198899,0.00198899
4,267.191,0.00888,15.5401,0.02007,0.08538,0.52471,0.11047,0.0248,0.00797,12.6413,0.0258,0.00198348,0.00198348,0.00198348
5,336.159,0.00838,14.8379,0.01892,0.21525,0.09884,0.0865,0.02474,0.00784,13.1618,0.02541,0.00197797,0.00197797,0.00197797
6,404.06,0.00829,14.4794,0.01868,0.21253,0.19497,0.12751,0.03335,0.00823,12.6892,0.02756,0.00197246,0.00197246,0.00197246
7,473.29,0.00813,13.9441,0.01845,0.25058,0.23837,0.1608,0.03986,0.00832,11.9933,0.0271,0.00196696,0.00196696,0.00196696
8,540.375,0.0083,13.8648,0.0187,0.23479,0.27762,0.1641,0.04389,0.00768,13.3636,0.0248,0.00196145,0.00196145,0.00196145
9,606.866,0.00817,13.3532,0.018,0.17605,0.21948,0.10655,0.02841,0.00846,13.0437,0.02828,0.00195594,0.00195594,0.00195594
10,674.682,0.00821,13.4341,0.01868,0.14912,0.26453,0.10899,0.03273,0.00803,12.3143,0.02738,0.00195044,0.00195044,0.00195044
11,742.773,0.00793,13.1942,0.01766,0.38814,0.22221,0.20904,0.0555,0.00809,11.9782,0.02671,0.00194493,0.00194493,0.00194493
12,810.909,0.00788,13.0685,0.01764,0.25447,0.27762,0.17733,0.04152,0.00798,12.7613,0.02698,0.00193942,0.00193942,0.00193942
13,879.988,0.00804,12.8053,0.01786,0.22582,0.34157,0.18439,0.04732,0.00829,15.3789,0.02798,0.00193391,0.00193391,0.00193391
14,946.854,nan,nan,nan,0.19817,0.22238,0.12343,0.03794,nan,nan,nan,0.00192841,0.00192841,0.00192841
15,1015.96,0.00802,12.9965,0.01818,0.12,0.32994,0.09945,0.02794,nan,nan,nan,0.0019229,0.0019229,0.0019229
16,1083.85,0.00803,12.5141,0.01804,0.16509,0.20785,0.08852,0.02042,nan,nan,nan,0.00191739,0.00191739,0.00191739
17,1152.15,0.00781,12.5223,0.01729,0.22626,0.13227,0.10471,0.02965,nan,nan,nan,0.00191189,0.00191189,0.00191189
18,1220.87,0.00795,12.3453,0.01779,0.24597,0.22806,0.13121,0.03908,nan,nan,nan,0.00190638,0.00190638,0.00190638
19,1290.99,0.00795,12.2202,0.01782,0.12628,0.37936,0.11717,0.03648,nan,nan,nan,0.00190087,0.00190087,0.00190087
20,1367.46,0.00784,12.6134,0.01742,0.18925,0.17878,0.11035,0.03261,nan,nan,nan,0.00189537,0.00189537,0.00189537
21,1443.87,0.00778,12.2133,0.01747,0.19735,0.15975,0.11611,0.03324,nan,nan,nan,0.00188986,0.00188986,0.00188986
