epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4856,0.01767,12.5382,0.01996,0.08289,0.20785,0.04254,0.00853,0.0187,10.0232,0.0327,0.00117157,0.00117157,0.00117157
2,138.935,0.01682,9.29428,0.01851,0.00373,0.06831,0.0093,0.00388,nan,nan,nan,0.00198384,0.00198384,0.00198384
3,207.33,0.01657,8.87931,0.01842,0.10104,0.24128,0.0943,0.02362,0.01545,7.69895,0.02498,0.00196767,0.00196767,0.00196767
4,276.308,0.01652,8.4189,0.01835,0.11444,0.44477,0.1019,0.02663,0.01577,8.36932,0.02623,0.00195151,0.00195151,0.00195151
5,344.828,0.01644,8.0906,0.01828,0.07324,0.60756,0.11429,0.03122,0.01563,6.84373,0.02586,0.00193534,0.00193534,0.00193534
6,413.967,0.01618,7.96442,0.01782,0.13449,0.49128,0.14735,0.04195,0.01514,6.70099,0.02464,0.00191918,0.00191918,0.00191918
7,484.613,0.01617,7.82201,0.01769,0.25862,0.36047,0.20699,0.0584,0.01532,6.4736,0.0245,0.00190302,0.00190302,0.00190302
8,554.319,0.01582,7.78226,0.01738,0.26065,0.3125,0.19423,0.06292,0.01473,7.17296,0.02384,0.00188685,0.00188685,0.00188685
9,623.824,0.01588,7.67351,0.01733,0.21414,0.3343,0.16356,0.03869,0.01695,6.89309,0.02881,0.00187069,0.00187069,0.00187069
10,693.115,0.01589,7.45107,0.01755,0.32634,0.35901,0.26291,0.07788,0.01506,6.44742,0.02476,0.00185453,0.00185453,0.00185453
11,783.937,0.01583,7.25488,0.01734,0.22641,0.32671,0.18782,0.05541,0.01524,6.66081,0.02532,0.00183836,0.00183836,0.00183836
12,851.279,0.01547,7.46675,0.01728,0.24695,0.37645,0.20715,0.0554,0.01535,7.50447,0.02523,0.0018222,0.0018222,0.0018222
13,918.705,0.01531,7.26611,0.01644,0.27664,0.44693,0.23897,0.07289,0.01447,6.38142,0.02289,0.00180603,0.00180603,0.00180603
14,986.857,0.01525,7.28149,0.01645,0.28451,0.39591,0.23879,0.07009,0.01454,7.15205,0.02291,0.00178987,0.00178987,0.00178987
15,1055.83,0.01549,7.28532,0.01677,0.25939,0.34593,0.20847,0.05868,0.01539,7.13958,0.02402,0.00177371,0.00177371,0.00177371
16,1123.87,0.01522,7.02615,0.01669,0.30499,0.375,0.23854,0.0723,0.01547,6.12834,0.02465,0.00175754,0.00175754,0.00175754
17,1193.6,0.01539,7.16995,0.01659,0.32039,0.40988,0.25615,0.0804,0.01464,5.81762,0.02342,0.00174138,0.00174138,0.00174138
18,1263.1,0.01514,7.03623,0.0165,0.21979,0.30913,0.19578,0.0649,0.01443,6.66527,0.02314,0.00172521,0.00172521,0.00172521
19,1332.32,0.01539,6.86337,0.01665,0.35517,0.35465,0.30332,0.09458,0.01447,6.28378,0.02272,0.00170905,0.00170905,0.00170905
20,1402.28,0.01537,6.84449,0.01663,0.32429,0.40843,0.26487,0.08483,0.01449,5.92141,0.02291,0.00169289,0.00169289,0.00169289
21,1471.25,0.01554,6.84958,0.01696,0.34851,0.4157,0.30155,0.0986,0.01419,5.65935,0.02231,0.00167672,0.00167672,0.00167672
