epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.58,0.0587,48.0325,0.01877,0.09422,0.28052,0.08312,0.01966,0.05226,23.425,0.02428,0.0011687,0.0011687,0.0011687
2,136.556,0.06082,27.9463,0.01967,0.05641,0.0625,0.01774,0.00564,nan,nan,nan,0.00198364,0.00198364,0.00198364
3,207.283,0.05965,27.7814,0.01833,0.21693,0.06686,0.06784,0.01317,0.05752,44.3354,0.0286,0.00196728,0.00196728,0.00196728
4,276.037,0.05945,26.5638,0.01887,0.19304,0.24419,0.1073,0.02418,nan,nan,nan,0.00195092,0.00195092,0.00195092
5,374.299,0.05777,25.3842,0.01889,0.13695,0.30515,0.10617,0.02572,0.05157,nan,0.02465,0.00193455,0.00193455,0.00193455
6,446.042,0.05745,24.3533,0.01868,0.03332,0.78779,0.10601,0.02604,0.0495,23.6759,0.02386,0.00191819,0.00191819,0.00191819
7,516.754,0.05631,24.1076,0.01795,0.17156,0.22238,0.10616,0.02854,nan,nan,nan,0.00190183,0.00190183,0.00190183
8,586.077,0.05455,24.1034,0.01692,0.0761,0.61773,0.10674,0.02593,0.05435,20.1872,0.02709,0.00188547,0.00188547,0.00188547
9,653.628,nan,nan,nan,0.08925,0.30669,0.06737,0.01804,nan,nan,nan,0.00186911,0.00186911,0.00186911
10,721.08,0.05548,23.4455,0.01751,0.15594,0.25581,0.09806,0.02877,nan,nan,nan,0.00185275,0.00185275,0.00185275
11,791.666,0.05444,22.8873,0.01729,0.12493,0.27762,0.08238,0.02629,nan,nan,nan,0.00183639,0.00183639,0.00183639
12,859.749,0.05478,22.4236,0.01732,0.17537,0.28779,0.12523,0.03636,nan,nan,nan,0.00182002,0.00182002,0.00182002
13,927.428,0.05466,22.1612,0.01777,0.10978,0.12791,0.06094,0.01662,nan,nan,nan,0.00180366,0.00180366,0.00180366
14,997.356,0.05428,21.9366,0.01709,0.15301,0.3125,0.09909,0.02856,nan,nan,nan,0.0017873,0.0017873,0.0017873
15,1065.64,0.05458,21.6036,0.01764,0.16204,0.25291,0.10275,0.02893,nan,nan,nan,0.00177094,0.00177094,0.00177094
16,1137.36,0.0545,21.722,0.01703,0.1867,0.24419,0.10684,0.03309,nan,nan,nan,0.00175458,0.00175458,0.00175458
17,1206.74,0.05531,21.0254,0.01754,0.16291,0.23837,0.10146,0.02694,nan,nan,nan,0.00173822,0.00173822,0.00173822
18,1275.77,0.05503,20.3415,0.01726,0.17391,0.29942,0.14576,0.04287,nan,nan,nan,0.00172186,0.00172186,0.00172186
19,1345.77,0.05561,20.3385,0.01775,0.21712,0.28924,0.13157,0.03974,nan,nan,nan,0.00170549,0.00170549,0.00170549
20,1415.97,0.05465,21.0867,0.01724,0.23811,0.37064,0.16853,0.05302,nan,nan,nan,0.00168913,0.00168913,0.00168913
21,1485.74,0.05415,20.753,0.01699,0.19173,0.31541,0.13324,0.03916,nan,nan,nan,0.00167277,0.00167277,0.00167277
22,1556.87,0.05385,20.2957,0.01693,0.20723,0.29506,0.13253,0.03779,nan,nan,nan,0.00165641,0.00165641,0.00165641
23,1626.33,0.05394,20.6438,0.01691,0.19534,0.31541,0.13793,0.04535,nan,nan,nan,0.00164005,0.00164005,0.00164005
24,1697.21,0.05344,19.6114,0.01717,0.25746,0.34157,0.18063,0.04779,nan,nan,nan,0.00162369,0.00162369,0.00162369
25,1766.31,0.05432,19.9899,0.01695,0.25649,0.30523,0.17426,0.05058,nan,nan,nan,0.00160733,0.00160733,0.00160733
26,1836.76,0.05318,19.9498,0.01638,0.21249,0.27022,0.13782,0.03883,nan,nan,nan,0.00159096,0.00159096,0.00159096
