epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6165,0.01468,29.5298,0.02015,0.03502,0.12936,0.0213,0.00697,0.01497,39.3473,0.03239,0.002,0.002,0.002
2,143.752,0.01385,21.6513,0.01864,0.05576,0.02762,0.00837,0.00174,nan,nan,nan,0.00198279,0.00198279,0.00198279
3,215.641,0.01366,20.6495,0.0184,0.07526,0.21802,0.04307,0.01132,0.01399,27.1393,0.02908,0.00196559,0.00196559,0.00196559
4,288.878,0.01368,19.7178,0.01846,0.07487,0.11192,0.02808,0.00654,nan,nan,nan,0.00194838,0.00194838,0.00194838
5,362.46,0.01332,19.634,0.01797,0.05286,0.45203,0.05551,0.01322,0.01391,27.1684,0.02853,0.00193117,0.00193117,0.00193117
6,435.219,0.0133,18.6632,0.01763,0.0988,0.18895,0.05824,0.01338,0.01438,20.5751,0.02848,0.00191397,0.00191397,0.00191397
7,509.096,0.01328,18.4477,0.01752,0.21578,0.25291,0.13836,0.03448,nan,nan,nan,0.00189676,0.00189676,0.00189676
8,583.239,0.0131,17.875,0.01758,0.26885,0.13517,0.10319,0.02757,0.01329,27.7436,0.0258,0.00187955,0.00187955,0.00187955
9,657.807,0.01279,18.2745,0.01701,0.17106,0.26994,0.11937,0.03061,0.01403,19.592,0.02847,0.00186234,0.00186234,0.00186234
10,731.975,0.0131,17.2629,0.01757,0.18055,0.23692,0.12907,0.02887,0.01381,21.9534,0.02891,0.00184514,0.00184514,0.00184514
11,806.101,0.01282,16.9384,0.01675,0.16982,0.25727,0.1051,0.02536,0.01311,25.4643,0.02601,0.00182793,0.00182793,0.00182793
12,880.697,0.01274,17.0284,0.01695,0.26791,0.31831,0.1996,0.05529,0.01304,19.5267,0.02604,0.00181072,0.00181072,0.00181072
13,955.455,0.01266,16.9779,0.01634,0.29148,0.36483,0.23657,0.0607,0.01336,18.9818,0.02666,0.00179352,0.00179352,0.00179352
14,1031.48,0.01274,16.8966,0.01686,0.2635,0.27762,0.17011,0.03956,0.01358,19.9359,0.02755,0.00177631,0.00177631,0.00177631
15,1106.15,0.01274,16.5512,0.01701,0.31084,0.27338,0.19381,0.05057,0.01314,17.3386,0.02654,0.0017591,0.0017591,0.0017591
16,1181.9,0.01257,16.5399,0.01655,0.16125,0.2282,0.11164,0.03063,0.0124,22.4748,0.02413,0.0017419,0.0017419,0.0017419
17,1256.13,0.01244,16.1507,0.0163,0.33185,0.3939,0.26896,0.07861,0.01252,15.2963,0.02532,0.00172469,0.00172469,0.00172469
18,1329.92,0.0124,15.88,0.01627,0.2075,0.22384,0.12565,0.0349,0.01265,20.7924,0.02509,0.00170748,0.00170748,0.00170748
19,1403.7,0.01244,15.782,0.01622,0.23555,0.22093,0.15704,0.04633,0.01334,18.1242,0.02661,0.00169027,0.00169027,0.00169027
20,1477.22,0.01253,15.5509,0.01663,0.24232,0.33866,0.17573,0.05213,0.01291,19.4595,0.02585,0.00167307,0.00167307,0.00167307
21,1550.81,0.01252,15.359,0.01651,0.34045,0.40988,0.31288,0.09291,0.01292,14.0212,0.02532,0.00165586,0.00165586,0.00165586
22,1624.91,0.01248,15.297,0.01643,0.34563,0.34157,0.27148,0.07658,0.01245,15.7991,0.02412,0.00163865,0.00163865,0.00163865
23,1700.06,0.01232,15.0705,0.01624,0.29142,0.37791,0.26498,0.07487,0.01286,14.8942,0.02572,0.00162145,0.00162145,0.00162145
24,1776.87,0.01235,15.2538,0.0162,0.32332,0.38517,0.25961,0.06686,0.01297,16.3166,0.02547,0.00160424,0.00160424,0.00160424
25,1851.8,0.01247,15.3612,0.01613,0.20104,0.28924,0.14245,0.03797,0.01306,18.2906,0.02587,0.00158703,0.00158703,0.00158703
26,1927.2,0.01242,14.811,0.01636,0.2564,0.30087,0.1844,0.0509,0.0129,18.5704,0.02577,0.00156983,0.00156983,0.00156983
27,2001.33,0.01236,14.8029,0.0164,0.37286,0.36483,0.28983,0.08662,0.01252,15.4107,0.0249,0.00155262,0.00155262,0.00155262
28,2075.94,0.01224,14.7574,0.01597,0.3138,0.36773,0.25282,0.07293,0.01251,16.4025,0.02463,0.00153541,0.00153541,0.00153541
29,2151.65,0.01218,14.8699,0.01592,0.37517,0.41715,0.30056,0.08605,0.01219,15.1171,0.02341,0.0015182,0.0015182,0.0015182
30,2226.22,0.01222,14.8351,0.01596,0.27241,0.36192,0.23061,0.06496,0.01253,15.6356,0.02413,0.001501,0.001501,0.001501
31,2324.12,0.0121,14.4582,0.01587,0.31955,0.38517,0.27857,0.07307,0.0128,16.4338,0.02504,0.00148379,0.00148379,0.00148379
